Qty,Designator,MPN,Purchase Link
1,J5,5031821852,https://www.digikey.com/en/products/detail/molex/5031821852/4693482?s=N4IgTCBcDaIKwAYDMBGAHGdcIF0C%2BQA
1,U$11,541324562,https://www.digikey.com/en/products/detail/molex/0541324562/3197010
1,N/A - This is the LCD itself,ET026LQTM008,https://www.alibaba.com/product-detail/Support-Small-Quantity-2-6-inch_1600609986142.html
